id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
26,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
27,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
28,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
29,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
30,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
31,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
32,2,single_1,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,wisq_rules,,,,12,25,66,114,0,36,11,107,efficient_su2_12__wisq_rules
33,2,single_1,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,wisq_rules,,,,12,25,66,114,0,32,11,107,efficient_su2_12__wisq_rules
34,2,single_2,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,wisq_bqskit,,,,12,25,66,114,0,31,11,107,efficient_su2_12__wisq_bqskit
35,2,single_2,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,wisq_bqskit,,,,12,25,66,114,0,27,11,107,efficient_su2_12__wisq_bqskit
36,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
37,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
38,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
39,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
40,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
41,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
42,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
43,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
44,2,single_3,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,,,,12,25,66,114,0,29,66,162,efficient_su2_12__tket
45,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,65,116,164,efficient_su2_12__qiskit_ai
46,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,66,122,170,efficient_su2_12__qiskit_ai
47,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,68,123,171,efficient_su2_12__qiskit_ai
48,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,65,121,169,efficient_su2_12__qiskit_ai
49,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,65,127,175,efficient_su2_12__qiskit_ai
50,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,69,128,176,efficient_su2_12__qiskit_ai
51,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,64,123,171,efficient_su2_12__qiskit_ai
52,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,73,115,163,efficient_su2_12__qiskit_ai
53,2,single_4,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_ai,,,,12,25,66,114,0,58,129,177,efficient_su2_12__qiskit_ai
54,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,136,176,505,efficient_su2_12__qiskit_standard
55,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,159,224,436,efficient_su2_12__qiskit_standard
