,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gate_count,final_total_gates,runtime,opt_chain
11,4,efficient_su2_16,4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_16/step_0_tket/cheap_1_opt_efficient_su2_16_tket_step0_tket.qasm,16,33,120,184,16,37,120,248,1.4986608329927549,efficient_su2_16__tket
12,5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/efficient_su2_8/step_0_qiskit_ai/cheap_1_opt_efficient_su2_8_qiskit_ai_step0_qiskit_ai.qasm,8,27,56,104,8,46,56,200,0.11790541710797697,efficient_su2_8__qiskit_ai
13,5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_8/step_0_qiskit_standard/cheap_1_opt_efficient_su2_8_qiskit_standard_step0_qiskit_standard.qasm,8,27,56,104,8,33,56,152,0.005536000011488795,efficient_su2_8__qiskit_standard
14,5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_8/step_0_tket/cheap_1_opt_efficient_su2_8_tket_step0_tket.qasm,8,27,56,104,8,33,56,152,0.7689013340277597,efficient_su2_8__tket
15,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/W-state/step_0_qiskit_ai/cheap_1_opt_W-state_qiskit_ai_step0_qiskit_ai.qasm,3,6,2,9,3,34,9,47,0.031133790966123343,W-state__qiskit_ai
16,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/W-state/step_0_qiskit_standard/cheap_1_opt_W-state_qiskit_standard_step0_qiskit_standard.qasm,3,6,2,9,3,27,6,42,0.009703957941383123,W-state__qiskit_standard
17,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/W-state/step_0_tket/cheap_1_opt_W-state_tket_step0_tket.qasm,3,6,2,9,3,22,6,30,0.42139658296946436,W-state__tket
18,7,adder,7,adder,feynman,benchmarks/ai_transpile/qasm/feynman/adder.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/adder/step_0_qiskit_ai/cheap_1_opt_adder_qiskit_ai_step0_qiskit_ai.qasm,10,11,1,19,10,125,65,179,0.10745154204778373,adder__qiskit_ai
19,7,adder,7,adder,feynman,benchmarks/ai_transpile/qasm/feynman/adder.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/adder/step_0_qiskit_standard/cheap_1_opt_adder_qiskit_standard_step0_qiskit_standard.qasm,10,11,1,19,10,119,65,166,0.007718457956798375,adder__qiskit_standard
20,7,adder,7,adder,feynman,benchmarks/ai_transpile/qasm/feynman/adder.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/adder/step_0_tket/cheap_1_opt_adder_tket_step0_tket.qasm,10,11,1,19,10,119,61,170,0.6409887920599431,adder__tket
