id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
455,21,hwb10,21,hwb10,feynman,benchmarks/ai_transpile/qasm/feynman/hwb10.qasm,wisq_bqskit,1,wisq_bqskit,,,,16,18050,9508,31764,0,73020,35170,142966,307.4206673176959,hwb10__wisq_bqskit
457,21,hwb10,21,hwb10,feynman,benchmarks/ai_transpile/qasm/feynman/hwb10.qasm,tket,1,tket,,,,16,18050,9508,31764,0,43350,31215,72583,668.3693347712979,hwb10__tket
465,22,hwb11,22,hwb11,feynman,benchmarks/ai_transpile/qasm/feynman/hwb11.qasm,tket,1,tket,,,,15,52290,25855,87789,0,126166,89925,203236,2319.558573467657,hwb11__tket
469,23,hwb12,23,hwb12,feynman,benchmarks/ai_transpile/qasm/feynman/hwb12.qasm,wisq_rules,1,wisq_rules,,,,20,98611,44833,171482,0,417862,191803,808352,647.7523577986285,hwb12__wisq_rules
471,23,hwb12,23,hwb12,feynman,benchmarks/ai_transpile/qasm/feynman/hwb12.qasm,wisq_bqskit,1,wisq_bqskit,,,,20,98611,44833,171482,0,417862,191803,808352,337.17119683977216,hwb12__wisq_bqskit
473,23,hwb12,23,hwb12,feynman,benchmarks/ai_transpile/qasm/feynman/hwb12.qasm,tket,1,tket,,,,20,98611,44833,171482,0,251679,177592,405572,6020.482178177685,hwb12__tket
481,24,hwb6,24,hwb6,feynman,benchmarks/ai_transpile/qasm/feynman/hwb6.qasm,tket,1,tket,,,,7,62,26,109,0,197,111,300,3.207382400520146,hwb6__tket
492,25,hwb8,25,hwb8,feynman,benchmarks/ai_transpile/qasm/feynman/hwb8.qasm,tket,1,tket,,,,12,3855,2083,6446,0,9284,6399,15117,123.54054251872004,hwb8__tket
502,28,mod5_4,28,mod5_4,feynman,benchmarks/ai_transpile/qasm/feynman/mod5_4.qasm,tket,1,tket,,,,5,23,4,23,0,54,28,68,2.3711042823269963,mod5_4__tket
513,29,mod_mult_55,29,mod_mult_55,feynman,benchmarks/ai_transpile/qasm/feynman/mod_mult_55.qasm,tket,1,tket,,,,9,20,6,49,0,60,48,143,32.46181866899133,mod_mult_55__tket
524,30,mod_red_21,30,mod_red_21,feynman,benchmarks/ai_transpile/qasm/feynman/mod_red_21.qasm,tket,1,tket,,,,11,58,3,108,0,210,105,332,18.736244111321867,mod_red_21__tket
535,32,qft,32,qft,feynman,benchmarks/ai_transpile/qasm/feynman/qft.qasm,tket,1,tket,,,,4,9,6,17,0,24,13,39,1.1210026685148478,qft__tket
547,33,qft_4,33,qft_4,feynman,benchmarks/ai_transpile/qasm/feynman/qft_4.qasm,tket,1,tket,,,,5,134,34,159,0,90,41,128,1.7045015962794423,qft_4__tket
554,34,qpt,34,qpt,feynman,benchmarks/ai_transpile/qasm/feynman/qpt.qasm,tket,1,tket,,,,1,4,0,6,0,4,0,4,1.57083198428154,qpt__tket
563,35,rb,35,rb,feynman,benchmarks/ai_transpile/qasm/feynman/rb.qasm,wisq_rules,1,wisq_rules,,,,2,8,6,13,0,12,2,17,600.0524359187111,rb__wisq_rules
565,35,rb,35,rb,feynman,benchmarks/ai_transpile/qasm/feynman/rb.qasm,wisq_bqskit,1,wisq_bqskit,,,,2,8,6,13,0,0,0,0,300.76019492466,rb__wisq_bqskit
567,35,rb,35,rb,feynman,benchmarks/ai_transpile/qasm/feynman/rb.qasm,tket,1,tket,,,,2,8,6,13,0,20,6,22,1.6040187934413552,rb__tket
580,36,rc_adder_6,36,rc_adder_6,feynman,benchmarks/ai_transpile/qasm/feynman/rc_adder_6.qasm,tket,1,tket,,,,14,40,27,90,0,128,81,223,2.865443534217775,rc_adder_6__tket
591,39,tof_10,39,tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/tof_10.qasm,tket,1,tket,,,,19,53,0,85,0,197,102,290,2.8472071662545204,tof_10__tket
602,40,tof_3,40,tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/tof_3.qasm,tket,1,tket,,,,5,11,0,15,0,36,18,52,1.248216800391674,tof_3__tket
613,41,tof_4,41,tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/tof_4.qasm,tket,1,tket,,,,7,17,0,25,0,59,30,86,1.5709233060479164,tof_4__tket
624,42,tof_5,42,tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/tof_5.qasm,tket,1,tket,,,,9,23,0,35,0,82,42,120,1.8702104445546863,tof_5__tket
